"Species","Fire_Class_1","Fire_Class_2","Fire_Class_3","Total_Overlap","Species_Polygon"
"retroterra_parva",0.625,353.6875,0,354.3125,3077.375
"spinasteron_peron",0,0,0,0,807.125
"drakiessa_consobrina",25.5625,996,610.6875,1632.25,5859.75
"protocapritermes_krisiformis",120.25,1244.625,1880.875,3245.75,8195.5
"australomimetus_audax",0.375,50.125,2.25,52.75,1051.3125
"ariadna_segmentata",4.0625,7.875,39.5,51.4375,15241.5625
"ectomocoris_ornatus",88,2385.25,1581.25,4054.5,15735.6875
"sericesthis_suturalis",0,0,0,0,1437.6875
"annabellia_bingara",83.5,1992.625,704.5,2780.625,43521.5
"hemicycliophora_halophila",0.0625,96.5625,58.875,155.5,3284.625
"trichophthalma_trichophthalma_bivittata",87.3125,3890.4375,1971.4375,5949.1875,26614.4375
"lissodesmus_tarrabulga",0,0,0,0,521
"myllocerus_abstersus",0.5625,3.0625,0.1875,3.8125,40093.375
